Date,GDAXI.Close
2014-09-17,9661.5
2014-09-18,9798.129883
2014-09-19,9799.259766
2014-09-20,
2014-09-21,
2014-09-22,9749.540039
2014-09-23,9595.030273
2014-09-24,9661.969727
2014-09-25,9510.009766
2014-09-26,9490.549805
2014-09-27,
2014-09-28,
2014-09-29,9422.910156
2014-09-30,9474.299805
2014-10-01,9382.030273
2014-10-02,9195.679688
2014-10-03,
2014-10-04,
2014-10-05,
2014-10-06,9209.509766
2014-10-07,9086.209961
2014-10-08,8995.330078
2014-10-09,9005.019531
2014-10-10,8788.80957
2014-10-11,
2014-10-12,
2014-10-13,8812.429688
2014-10-14,8825.209961
2014-10-15,8571.950195
2014-10-16,8582.900391
2014-10-17,8850.269531
2014-10-18,
2014-10-19,
2014-10-20,8717.759766
2014-10-21,8886.959961
2014-10-22,8940.139648
2014-10-23,9047.30957
2014-10-24,8987.799805
2014-10-25,
2014-10-26,
2014-10-27,8902.610352
2014-10-28,9068.19043
2014-10-29,9082.80957
2014-10-30,9114.839844
2014-10-31,9326.870117
2014-11-01,
2014-11-02,
2014-11-03,9251.700195
2014-11-04,9166.469727
2014-11-05,9315.480469
2014-11-06,9377.410156
2014-11-07,9291.830078
2014-11-08,
2014-11-09,
2014-11-10,9351.870117
2014-11-11,9369.030273
2014-11-12,9210.959961
2014-11-13,9248.509766
2014-11-14,9252.94043
2014-11-15,
2014-11-16,
2014-11-17,9306.349609
2014-11-18,9456.530273
2014-11-19,9472.799805
2014-11-20,9483.969727
2014-11-21,9732.549805
2014-11-22,
2014-11-23,
2014-11-24,9785.540039
2014-11-25,9861.209961
2014-11-26,9915.55957
2014-11-27,9974.870117
2014-11-28,9980.849609
2014-11-29,
2014-11-30,
2014-12-01,9963.509766
2014-12-02,9934.080078
2014-12-03,9971.790039
2014-12-04,9851.349609
2014-12-05,10087.12012
2014-12-06,
2014-12-07,
2014-12-08,10014.99023
2014-12-09,9793.709961
2014-12-10,9799.730469
2014-12-11,9862.530273
2014-12-12,9594.730469
2014-12-13,
2014-12-14,
2014-12-15,9334.009766
2014-12-16,9563.889648
2014-12-17,9544.429688
2014-12-18,9811.05957
2014-12-19,9786.959961
2014-12-20,
2014-12-21,
2014-12-22,9865.759766
2014-12-23,9922.110352
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-27,
2014-12-28,
2014-12-29,9927.129883
2014-12-30,9805.549805
2014-12-31,
2015-01-01,
2015-01-02,9764.730469
2015-01-03,
2015-01-04,
2015-01-05,9473.160156
2015-01-06,9469.660156
2015-01-07,9518.179688
2015-01-08,9837.610352
2015-01-09,9648.5
2015-01-10,
2015-01-11,
2015-01-12,9781.900391
2015-01-13,9941
2015-01-14,9817.080078
2015-01-15,10032.61035
2015-01-16,10167.76953
2015-01-17,
2015-01-18,
2015-01-19,10242.34961
2015-01-20,10257.12988
2015-01-21,10299.23047
2015-01-22,10435.62012
2015-01-23,10649.58008
2015-01-24,
2015-01-25,
2015-01-26,10798.33008
2015-01-27,10628.58008
2015-01-28,10710.96973
2015-01-29,10737.87012
2015-01-30,10694.32031
2015-01-31,
2015-02-01,
2015-02-02,10828.00977
2015-02-03,10890.9502
2015-02-04,10911.32031
2015-02-05,10905.41016
2015-02-06,10846.38965
2015-02-07,
2015-02-08,
2015-02-09,10663.50977
2015-02-10,10753.83008
2015-02-11,10752.11035
2015-02-12,10919.65039
2015-02-13,10963.40039
2015-02-14,
2015-02-15,
2015-02-16,10923.23047
2015-02-17,10895.62012
2015-02-18,10961
2015-02-19,11001.94043
2015-02-20,11050.63965
2015-02-21,
2015-02-22,
2015-02-23,11130.91992
2015-02-24,11205.74023
2015-02-25,11210.26953
2015-02-26,11327.19043
2015-02-27,11401.66016
2015-02-28,
2015-03-01,
2015-03-02,11410.36035
2015-03-03,11280.36035
2015-03-04,11390.37988
2015-03-05,11504.00977
2015-03-06,11550.96973
2015-03-07,
2015-03-08,
2015-03-09,11582.11035
2015-03-10,11500.37988
2015-03-11,11805.99023
2015-03-12,11799.38965
2015-03-13,11901.61035
2015-03-14,
2015-03-15,
2015-03-16,12167.71973
2015-03-17,11980.84961
2015-03-18,11922.76953
2015-03-19,11899.40039
2015-03-20,12039.37012
2015-03-21,
2015-03-22,
2015-03-23,11895.83984
2015-03-24,12005.69043
2015-03-25,11865.32031
2015-03-26,11843.67969
2015-03-27,11868.33008
2015-03-28,
2015-03-29,
2015-03-30,12086.00977
2015-03-31,11966.16992
2015-04-01,12001.37988
2015-04-02,11967.38965
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,
2015-04-07,12123.51953
2015-04-08,12035.86035
2015-04-09,12166.44043
2015-04-10,12374.73047
2015-04-11,
2015-04-12,
2015-04-13,12338.73047
2015-04-14,12227.59961
2015-04-15,12231.33984
2015-04-16,11998.86035
2015-04-17,11688.7002
2015-04-18,
2015-04-19,
2015-04-20,11891.91016
2015-04-21,11939.58008
2015-04-22,11867.37012
2015-04-23,11723.58008
2015-04-24,11810.84961
2015-04-25,
2015-04-26,
2015-04-27,12039.16016
2015-04-28,11811.66016
2015-04-29,11432.71973
2015-04-30,11454.37988
2015-05-01,
2015-05-02,
2015-05-03,
2015-05-04,11619.84961
2015-05-05,11327.67969
2015-05-06,11350.15039
2015-05-07,11407.96973
2015-05-08,11709.73047
2015-05-09,
2015-05-10,
2015-05-11,11673.34961
2015-05-12,11472.41016
2015-05-13,11351.45996
2015-05-14,11559.82031
2015-05-15,11447.03027
2015-05-16,
2015-05-17,
2015-05-18,11594.28027
2015-05-19,11853.33008
2015-05-20,11848.46973
2015-05-21,11864.58984
2015-05-22,11815.00977
2015-05-23,
2015-05-24,
2015-05-25,
2015-05-26,11625.12988
2015-05-27,11771.12988
2015-05-28,11677.57031
2015-05-29,11413.82031
2015-05-30,
2015-05-31,
2015-06-01,11436.04981
2015-06-02,11328.79981
2015-06-03,11419.62012
2015-06-04,11340.59961
2015-06-05,11197.15039
2015-06-06,
2015-06-07,
2015-06-08,11064.91992
2015-06-09,11001.29004
2015-06-10,11265.38965
2015-06-11,11332.78027
2015-06-12,11196.49023
2015-06-13,
2015-06-14,
2015-06-15,10984.96973
2015-06-16,11044.00977
2015-06-17,10978.00977
2015-06-18,11100.29981
2015-06-19,11040.09961
2015-06-20,
2015-06-21,
2015-06-22,11460.5
2015-06-23,11542.54004
2015-06-24,11471.25977
2015-06-25,11473.12988
2015-06-26,11492.42969
2015-06-27,
2015-06-28,
2015-06-29,11083.2002
2015-06-30,10944.96973
2015-07-01,11180.5
2015-07-02,11099.34961
2015-07-03,11058.38965
2015-07-04,
2015-07-05,
2015-07-06,10890.62988
2015-07-07,10676.78027
2015-07-08,10747.29981
