Date,DTWEXM
2014-09-17,79.2843
2014-09-18,79.4921
2014-09-19,79.8223
2014-09-20,
2014-09-21,
2014-09-22,79.9205
2014-09-23,79.9367
2014-09-24,80.2143
2014-09-25,80.3703
2014-09-26,80.7703
2014-09-27,
2014-09-28,
2014-09-29,80.6812
2014-09-30,81.0756
2014-10-01,80.9928
2014-10-02,80.6819
2014-10-03,81.6336
2014-10-04,
2014-10-05,
2014-10-06,81.1335
2014-10-07,80.9357
2014-10-08,80.8064
2014-10-09,80.6583
2014-10-10,80.8601
2014-10-11,
2014-10-12,
2014-10-13,
2014-10-14,80.8926
2014-10-15,80.5238
2014-10-16,80.3286
2014-10-17,80.5278
2014-10-18,
2014-10-19,
2014-10-20,80.4982
2014-10-21,80.5279
2014-10-22,80.8094
2014-10-23,80.9594
2014-10-24,80.8109
2014-10-25,
2014-10-26,
2014-10-27,80.7399
2014-10-28,80.5117
2014-10-29,80.3787
2014-10-30,81.0528
2014-10-31,81.8583
2014-11-01,
2014-11-02,
2014-11-03,82.3088
2014-11-04,82.2142
2014-11-05,82.5232
2014-11-06,82.9246
2014-11-07,82.7461
2014-11-08,
2014-11-09,
2014-11-10,82.7006
2014-11-11,
2014-11-12,82.5341
2014-11-13,82.6806
2014-11-14,82.6243
2014-11-15,
2014-11-16,
2014-11-17,82.7956
2014-11-18,82.5553
2014-11-19,82.7301
2014-11-20,82.7627
2014-11-21,82.9417
2014-11-22,
2014-11-23,
2014-11-24,83.0047
2014-11-25,82.8118
2014-11-26,82.5859
2014-11-27,
2014-11-28,83.3705
2014-11-29,
2014-11-30,
2014-12-01,82.9377
2014-12-02,83.5228
2014-12-03,83.7594
2014-12-04,83.3877
2014-12-05,84.1257
2014-12-06,
2014-12-07,
2014-12-08,84.219
2014-12-09,83.4866
2014-12-10,83.5567
2014-12-11,83.8522
2014-12-12,83.4711
2014-12-13,
2014-12-14,
2014-12-15,83.7107
2014-12-16,83.5181
2014-12-17,83.91
2014-12-18,84.315
2014-12-19,84.6676
2014-12-20,
2014-12-21,
2014-12-22,84.6852
2014-12-23,85.0083
2014-12-24,84.9349
2014-12-25, 
2014-12-26, 
2014-12-27,
2014-12-28,
2014-12-29,85.0006
2014-12-30,84.7628
2014-12-31,85.0652
2015-01-01,
2015-01-02,85.7577
2015-01-03,
2015-01-04,
2015-01-05,86.2016
2015-01-06,86.0471
2015-01-07,86.7411
2015-01-08,86.6519
2015-01-09,86.5625
2015-01-10,
2015-01-11,
2015-01-12,86.6687
2015-01-13,86.8629
2015-01-14,86.6097
2015-01-15,86.705
2015-01-16,86.9265
2015-01-17,
2015-01-18,
2015-01-19, 
2015-01-20,87.2325
2015-01-21,87.6474
2015-01-22,88.232
2015-01-23,88.8135
2015-01-24,
2015-01-25,
2015-01-26,88.933
2015-01-27,88.5382
2015-01-28,88.7602
2015-01-29,89.5227
2015-01-30,89.6269
2015-01-31,
2015-02-01,
2015-02-02,89.1999
2015-02-03,88.5294
2015-02-04,88.8298
2015-02-05,88.4552
2015-02-06,89.2113
2015-02-07,
2015-02-08,
2015-02-09,89.0743
2015-02-10,89.2924
2015-02-11,89.7245
2015-02-12,88.7701
2015-02-13,88.7433
2015-02-14,
2015-02-15,
2015-02-16, 
2015-02-17, 
2015-02-18,89.059
2015-02-19,88.9089
2015-02-20,88.991
2015-02-21,
2015-02-22,
2015-02-23,89.2486
2015-02-24,89.4719
2015-02-25,88.8158
2015-02-26,89.5837
2015-02-27,89.6803
2015-02-28,
2015-03-01,
2015-03-02,89.857
2015-03-03,89.5246
2015-03-04,90.096
2015-03-05,
2015-03-06,91.5446
2015-03-07,
2015-03-08,
2015-03-09,91.5574
2015-03-10,92.199
2015-03-11,93.091
2015-03-12,92.7449
2015-03-13,93.4008
2015-03-14,
2015-03-15,
2015-03-16,93.1269
2015-03-17,93.0676
2015-03-18,92.8928
2015-03-19,92.8746
2015-03-20,91.6875
2015-03-21,
2015-03-22,
2015-03-23,90.9113
2015-03-24,90.98
2015-03-25,90.6375
2015-03-26,90.8036
2015-03-27,91.1357
2015-03-28,
2015-03-29,
2015-03-30,91.8314
2015-03-31,92.0599
2015-04-01,91.7881
2015-04-02,91.3544
2015-04-03,90.5271
2015-04-04,
2015-04-05,
2015-04-06,90.4251
2015-04-07,91.3037
2015-04-08,91.347
2015-04-09,92.2056
2015-04-10,92.5812
2015-04-11,
2015-04-12,
2015-04-13,92.6684
2015-04-14,91.8438
2015-04-15,91.9237
2015-04-16,90.8353
2015-04-17,90.7097
2015-04-18,
2015-04-19,
2015-04-20,90.7896
2015-04-21,90.9402
2015-04-22,91.0597
2015-04-23,90.5004
2015-04-24,90.1308
2015-04-25,
2015-04-26,
2015-04-27,89.9196
2015-04-28,89.319
2015-04-29,88.3547
2015-04-30,89.0096
2015-05-01,89.1848
2015-05-02,
2015-05-03,
2015-05-04,89.1789
2015-05-05,88.7973
2015-05-06,88.0236
2015-05-07,88.5882
2015-05-08,88.5252
2015-05-09,
2015-05-10,
2015-05-11,88.8918
2015-05-12,88.2035
2015-05-13,87.5127
2015-05-14,87.6232
2015-05-15,87.5059
2015-05-16,
2015-05-17,
2015-05-18,88.1553
2015-05-19,89.1839
2015-05-20,89.5066
2015-05-21,89.2143
2015-05-22,89.8915
2015-05-23,
2015-05-24,
2015-05-25,
2015-05-26,90.9928
2015-05-27,91.1925
2015-05-28,91.1521
2015-05-29,90.8242
2015-05-30,
2015-05-31,
2015-06-01,91.4334
2015-06-02,90.2311
2015-06-03,89.6853
2015-06-04,89.8962
2015-06-05,90.6846
2015-06-06,
2015-06-07,
2015-06-08,90.0514
2015-06-09,89.4579
2015-06-10,89.0339
2015-06-11,89.5025
2015-06-12,89.2021
2015-06-13,
2015-06-14,
2015-06-15,89.3301
2015-06-16,89.3969
2015-06-17,89.3945
2015-06-18,88.3599
2015-06-19,88.7238
2015-06-20,
2015-06-21,
2015-06-22,88.6982
2015-06-23,89.5408
2015-06-24,89.8757
2015-06-25,89.5816
2015-06-26,89.7886
2015-06-27,
2015-06-28,
2015-06-29,89.5423
2015-06-30,89.8171
2015-07-01,90.4411
2015-07-02,90.4697
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,90.594
2015-07-07,91.3568
2015-07-08,90.7657
2015-07-09,91.0129
2015-07-10,90.6362
2015-07-11,
2015-07-12,
2015-07-13,91.2646
2015-07-14,91.1964
2015-07-15,91.8313
2015-07-16,92.0911
2015-07-17,92.4188
2015-07-18,
2015-07-19,
2015-07-20,92.4286
2015-07-21,92.0637
2015-07-22,92.362
2015-07-23,92.0648
2015-07-24,92.1666
2015-07-25,
2015-07-26,
2015-07-27,91.4854
2015-07-28,91.568
2015-07-29,91.6246
2015-07-30,92.3826
2015-07-31,91.9203
2015-08-01,
2015-08-02,
2015-08-03,92.3936
2015-08-04,92.362
2015-08-05,92.9313
2015-08-06,92.7097
2015-08-07,92.5141
2015-08-08,
2015-08-09,
2015-08-10,92.2482
2015-08-11,92.3403
2015-08-12,91.212
2015-08-13,91.6863
2015-08-14,91.7807
2015-08-15,
2015-08-16,
2015-08-17,91.9286
2015-08-18,92.0601
2015-08-19,92.0872
2015-08-20,91.311
2015-08-21,90.7105
2015-08-22,
2015-08-23,
2015-08-24,89.6952
2015-08-25,90.6506
2015-08-26,90.7639
2015-08-27,91.324
2015-08-28,91.7719
2015-08-29,
2015-08-30,
2015-08-31,91.6432
2015-09-01,91.1948
2015-09-02,91.5646
2015-09-03,91.8858
2015-09-04,91.9256
2015-09-05,
2015-09-06,
2015-09-07, 
2015-09-08,91.5025
2015-09-09,91.7519
2015-09-10,91.3142
2015-09-11,91.1705
2015-09-12,
2015-09-13,
2015-09-14,91.1326
2015-09-15,91.4077
2015-09-16,90.9984
2015-09-17,91.0359
2015-09-18,90.5877
2015-09-19,
2015-09-20,
2015-09-21,91.4764
2015-09-22,91.8303
2015-09-23,91.9342
2015-09-24,91.6035
2015-09-25,91.9362
2015-09-26,
2015-09-27,
2015-09-28,91.747
2015-09-29,91.8065
2015-09-30,92.1031
2015-10-01,91.6013
2015-10-02,91.23
2015-10-03,
2015-10-04,
2015-10-05,91.3642
2015-10-06,90.978
2015-10-07,90.9149
2015-10-08,90.7481
2015-10-09,90.3207
2015-10-10,
2015-10-11,
2015-10-12, 
2015-10-13,90.3162
2015-10-14,89.9491
2015-10-15,89.7123
2015-10-16,90.1586
2015-10-17,
2015-10-18,
2015-10-19,90.4193
2015-10-20,90.2639
2015-10-21,90.6328
2015-10-22,91.4164
2015-10-23,92.1375
2015-10-24,
2015-10-25,
2015-10-26,91.9033
2015-10-27,92.0949
2015-10-28,91.9116
2015-10-29,92.4444
2015-10-30,91.8307
2015-10-31,
2015-11-01,
2015-11-02,91.9118
2015-11-03,92.3006
2015-11-04,92.7765
2015-11-05,92.8565
2015-11-06,93.9096
2015-11-07,
2015-11-08,
2015-11-09,93.6996
2015-11-10,94.0156
2015-11-11,
2015-11-12,93.6685
2015-11-13,93.9256
2015-11-14,
2015-11-15,
2015-11-16,94.041
2015-11-17,94.3209
2015-11-18,94.3881
2015-11-19,93.6043
2015-11-20,94.139
2015-11-21,
2015-11-22,
2015-11-23,94.4826
2015-11-24,94.1376
2015-11-25,94.2719
2015-11-26,
2015-11-27,94.5733
2015-11-28,
2015-11-29,
2015-11-30,94.6528
2015-12-01,94.4438
2015-12-02,94.7289
2015-12-03,93.359
2015-12-04,93.3429
2015-12-05,
2015-12-06,
2015-12-07,93.8651
2015-12-08,93.8934
2015-12-09,93.2645
2015-12-10,93.3286
2015-12-11,93.2573
2015-12-12,
2015-12-13,
2015-12-14,93.2336
2015-12-15,93.8606
2015-12-16,93.9207
2015-12-17,94.9732
2015-12-18,94.391
2015-12-19,
2015-12-20,
2015-12-21,94.3218
2015-12-22,93.9978
2015-12-23,94.2356
2015-12-24,93.7658
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,93.7863
2015-12-29,94.006
2015-12-30,94.0808
2015-12-31,94.2472
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,94.6663
2016-01-05,94.9326
2016-01-06,95.0333
2016-01-07,94.577
2016-01-08,94.6521
2016-01-09,
2016-01-10,
2016-01-11,94.727
2016-01-12,95.1846
2016-01-13,95.0987
2016-01-14,95.2875
2016-01-15,95.1338
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,95.4751
2016-01-20,95.4884
2016-01-21,95.2326
2016-01-22,
2016-01-23,
2016-01-24,
2016-01-25,
2016-01-26,
2016-01-27,94.8541
2016-01-28,94.5195
2016-01-29,95.3746
2016-01-30,
2016-01-31,
2016-02-01,94.9287
2016-02-02,94.8171
2016-02-03,93.4924
2016-02-04,92.5279
2016-02-05,93.1859
2016-02-06,
2016-02-07,
2016-02-08,92.9784
2016-02-09,92.225
2016-02-10,92.6147
2016-02-11,91.765
2016-02-12,92.1875
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,92.8133
2016-02-17,92.5044
2016-02-18,92.6647
2016-02-19,92.5236
2016-02-20,
2016-02-21,
2016-02-22,92.8785
2016-02-23,93.0056
2016-02-24,92.8815
2016-02-25,92.6798
2016-02-26,93.1882
2016-02-27,
2016-02-28,
2016-02-29,93.2101
2016-03-01,93.1935
2016-03-02,93.2026
2016-03-03,92.5766
2016-03-04,92.2166
2016-03-05,
2016-03-06,
2016-03-07,92.118
2016-03-08,92.0882
2016-03-09,91.8408
2016-03-10,91.5824
2016-03-11,91.1559
2016-03-12,
2016-03-13,
2016-03-14,91.6314
2016-03-15,91.7412
2016-03-16,92.0399
2016-03-17,89.8565
2016-03-18,89.9368
2016-03-19,
2016-03-20,
2016-03-21,90.2985
2016-03-22,90.4955
2016-03-23,91.1568
2016-03-24,91.3394
2016-03-25,91.3881
2016-03-26,
2016-03-27,
2016-03-28,91.0156
2016-03-29,90.9598
2016-03-30,89.9472
2016-03-31,89.7172
2016-04-01,89.9376
2016-04-02,
2016-04-03,
2016-04-04,89.7927
2016-04-05,90.0674
2016-04-06,89.5687
2016-04-07,89.7562
2016-04-08,89.3861
2016-04-09,
2016-04-10,
2016-04-11,89.0725
