Date,EURUSD=X.Close
2014-09-17,1.295908
2014-09-18,1.285
2014-09-19,1.292006
2014-09-20,
2014-09-21,
2014-09-22,1.284142
2014-09-23,1.285149
2014-09-24,1.285397
2014-09-25,1.277808
2014-09-26,1.275705
2014-09-27,
2014-09-28,
2014-09-29,1.267315
2014-09-30,1.269084
2014-10-01,1.262834
2014-10-02,1.262419
2014-10-03,1.267058
2014-10-04,
2014-10-05,
2014-10-06,1.251361
2014-10-07,1.264606
2014-10-08,1.266801
2014-10-09,1.274307
2014-10-10,1.268907
2014-10-11,
2014-10-12,
2014-10-13,1.263983
2014-10-14,1.272394
2014-10-15,1.263903
2014-10-16,1.282166
2014-10-17,1.280442
2014-10-18,
2014-10-19,
2014-10-20,1.274957
2014-10-21,1.279525
2014-10-22,1.271472
2014-10-23,1.264143
2014-10-24,1.265406
2014-10-25,
2014-10-26,
2014-10-27,1.267668
2014-10-28,1.270148
2014-10-29,1.273837
2014-10-30,1.26328
2014-10-31,1.261336
2014-11-01,
2014-11-02,
2014-11-03,1.250313
2014-11-04,1.249594
2014-11-05,1.255256
2014-11-06,1.248003
2014-11-07,1.238007
2014-11-08,
2014-11-09,
2014-11-10,1.246137
2014-11-11,1.242993
2014-11-12,1.247583
2014-11-13,1.242993
2014-11-14,1.247598
2014-11-15,
2014-11-16,
2014-11-17,1.251846
2014-11-18,1.244896
2014-11-19,1.253337
2014-11-20,1.254076
2014-11-21,1.254501
2014-11-22,
2014-11-23,
2014-11-24,1.237501
2014-11-25,1.243317
2014-11-26,1.248065
2014-11-27,1.250594
2014-11-28,1.246199
2014-11-29,
2014-11-30,
2014-12-01,1.243828
2014-12-02,1.247007
2014-12-03,1.23885
2014-12-04,1.231664
2014-12-05,1.238666
2014-12-06,
2014-12-07,
2014-12-08,1.229407
2014-12-09,1.231512
2014-12-10,1.239495
2014-12-11,1.247396
2014-12-12,1.239495
2014-12-13,
2014-12-14,
2014-12-15,1.246354
2014-12-16,1.244354
2014-12-17,1.251204
2014-12-18,1.233898
2014-12-19,1.229045
2014-12-20,
2014-12-21,
2014-12-22,1.222599
2014-12-23,1.222374
2014-12-24,1.217493
2014-12-25,1.219854
2014-12-26,1.221001
2014-12-27,
2014-12-28,
2014-12-29,1.216945
2014-12-30,1.215347
2014-12-31,1.216205
2015-01-01,1.209863
2015-01-02,1.208941
2015-01-03,
2015-01-04,
2015-01-05,1.194643
2015-01-06,1.193902
2015-01-07,1.187536
2015-01-08,1.1836
2015-01-09,1.179607
