Date,Gold,,,,,
2014-09-17,1362,,,,,
2014-09-18,1353.4,,,,,
2014-09-19,1343.1,,,,,
2014-09-20,,,,,, 
2014-09-21,,,,,,
2014-09-22,1344.2,,,,,
2014-09-23,1347.2,,,,,
2014-09-24,1344.9,,,,,
2014-09-25,1346.4,,,,,
2014-09-26,1340.4,,,,,
2014-09-27,,,,,,
2014-09-28,,,,,,
2014-09-29,1343.7,,,,,
2014-09-30,1336.7,,,,,
2014-10-01,1340.2,,,,,
2014-10-02,1338.1,,,,,
2014-10-03,1316.9,,,,,
2014-10-04,,,,,,
2014-10-05,,,,,,
2014-10-06,1330.7,,,,,
2014-10-07,1333.6,,,,,
2014-10-08,1314.2,,,,,
2014-10-09,1328.8,,,,,
2014-10-10,1323.7,,,,,
2014-10-11,,,,,,
2014-10-12,,,,,,
2014-10-13,1329.3,,,,,
2014-10-14,1329.3,,,,,
2014-10-15,1331.3,,,,,
2014-10-16,1327.5,,,,,
2014-10-17,1328.5,,,,,
2014-10-18,,,,,,
2014-10-19,,,,,,
2014-10-20,1334.3,,,,,
2014-10-21,1341.8,,,,,
2014-10-22,1336.6,,,,,
2014-10-23,1322.1,,,,,
2014-10-24,1325,,,,,
2014-10-25,,,,,,
2014-10-26,,,,,,
2014-10-27,1322.4,,,,,
2014-10-28,1322.6,,,,,
2014-10-29,1319.2,,,,,
2014-10-30,1292.9,,,,,
2014-10-31,1265.9,,,,,
2014-11-01,,,,,,
2014-11-02,,,,,,
2014-11-03,1264.4,,,,,
2014-11-04,1260.3,,,,,
2014-11-05,1238.1,,,,,
2014-11-06,1234.4,,,,,
2014-11-07,1261,,,,,
2014-11-08,,,,,,
2014-11-09,,,,,,
2014-11-10,1251.3,,,,,
2014-11-11,1255.1,,,,,
2014-11-12,1250.4,,,,,
2014-11-13,1251.4,,,,,
2014-11-14,1275.6,,,,,
2014-11-15,,,,,,
2014-11-16,,,,,,
2014-11-17,1273.7,,,,,
2014-11-18,1285.5,,,,,
2014-11-19,1283.4,,,,,
2014-11-20,1278.9,,,,,
2014-11-21,1285.9,,,,,
2014-11-22,,,,,,
2014-11-23,,,,,,
2014-11-24,1284.2,,,,,
2014-11-25,1285.2,,,,,
2014-11-26,1284.5,,,,,
2014-11-27,1188.8,,,,,
2014-11-28,1261.2,,,,,
2014-11-29,,,,,,
2014-11-30,,,,,,
2014-12-01,1302.5,,,,,
2014-12-02,1284.7,,,,,
2014-12-03,1295.8,,,,,
