Date,ON
2014-09-17,0.091
2014-09-18,0.0907
2014-09-19,0.0912
2014-09-20,
2014-09-21,
2014-09-22,0.0903
2014-09-23,0.0909
2014-09-24,0.0908
2014-09-25,0.0908
2014-09-26,0.0905
2014-09-27,
2014-09-28,
2014-09-29,0.0905
2014-09-30,0.0808
2014-10-01,0.0908
2014-10-02,0.0895
2014-10-03,0.0899
2014-10-04,
2014-10-05,
2014-10-06,0.0905
2014-10-07,0.0902
2014-10-08,0.09
2014-10-09,0.0904
2014-10-10,0.0905
2014-10-11,
2014-10-12,
2014-10-13,0.0905
2014-10-14,0.091
2014-10-15,0.092
2014-10-16,0.0913
2014-10-17,0.091
2014-10-18,
2014-10-19,
2014-10-20,0.0915
2014-10-21,0.091
2014-10-22,0.0915
2014-10-23,0.0905
2014-10-24,0.0905
2014-10-25,
2014-10-26,
2014-10-27,0.09
2014-10-28,0.0905
2014-10-29,0.0915
2014-10-30,0.0911
2014-10-31,0.088
2014-11-01,
2014-11-02,
2014-11-03,0.0925
2014-11-04,0.0925
2014-11-05,0.0925
2014-11-06,0.0935
2014-11-07,0.094
2014-11-08,
2014-11-09,
2014-11-10,0.094
2014-11-11,0.094
2014-11-12,0.0945
2014-11-13,0.0939
2014-11-14,0.094
2014-11-15,
2014-11-16,
2014-11-17,0.0945
2014-11-18,0.0964
2014-11-19,0.0985
2014-11-20,0.0994
2014-11-21,0.1015
2014-11-22,
2014-11-23,
2014-11-24,0.1015
2014-11-25,0.1025
2014-11-26,0.102
2014-11-27,0.102
2014-11-28,0.0977
2014-11-29,
2014-11-30,
2014-12-01,0.1017
2014-12-02,0.1067
2014-12-03,0.1095
2014-12-04,0.111
2014-12-05,0.111
2014-12-06,
2014-12-07,
2014-12-08,0.111
2014-12-09,0.11
2014-12-10,0.112
2014-12-11,0.1125
2014-12-12,0.1104
2014-12-13,
2014-12-14,
2014-12-15,0.1105
2014-12-16,0.11
2014-12-17,0.1108
2014-12-18,0.1117
2014-12-19,0.114
2014-12-20,
2014-12-21,
2014-12-22,0.1142
2014-12-23,0.1141
2014-12-24,0.1151
2014-12-25,
2014-12-26,
2014-12-27,
2014-12-28,
2014-12-29,0.1161
2014-12-30,0.1146
2014-12-31,0.0852
2015-01-01,
2015-01-02,0.1126
2015-01-03,
2015-01-04,
2015-01-05,0.1164
2015-01-06,0.1187
2015-01-07,0.1189
2015-01-08,0.1191
2015-01-09,0.1191
2015-01-10,
2015-01-11,
2015-01-12,0.1165
2015-01-13,0.1167
2015-01-14,0.1196
2015-01-15,0.1201
2015-01-16,0.1201
