Date,Week day,ON,1W,1M,2M,3M,6M,12M
21.01.2020,Tue,1.53925,1.55238,1.6595,1.7825,1.80625,1.83438,1.91838
20.01.2020,Mon,,1.56225,1.65338,1.78638,1.80213,1.8295,1.92463
17.01.2020,Fri,1.53113,1.55575,1.65438,1.7925,1.81913,1.84488,1.923
16.01.2020,Thu,1.53563,1.5575,1.65775,1.79888,1.82663,1.84875,1.93013
15.01.2020,Wed,1.52838,1.55888,1.669,1.78663,1.83613,1.865,1.95275
14.01.2020,Tue,1.53125,1.56713,1.66963,1.786,1.84263,1.8645,1.96313
13.01.2020,Mon,1.53513,1.566,1.67625,1.79513,1.83125,1.8725,1.962
10.01.2020,Fri,1.53313,1.56438,1.67663,1.8065,1.83775,1.87213,1.96663
09.01.2020,Thu,1.527,1.562,1.68363,1.84113,1.84788,1.87963,1.96875
08.01.2020,Wed,1.5325,1.57475,1.67713,1.83688,1.834,1.87438,1.95113
07.01.2020,Tue,1.52788,1.58613,1.699,1.81225,1.878,1.8805,1.9545
06.01.2020,Mon,1.537,1.57863,1.69213,1.80388,1.87225,1.89425,1.95488
03.01.2020,Fri,1.53675,1.58888,1.71425,1.8105,1.87388,1.89288,1.96413
02.01.2020,Thu,1.5405,1.59338,1.73438,1.82113,1.90025,1.9095,1.99488
31.12.2019,Tue,1.54263,1.63,1.7625,1.83313,1.90838,1.91213,1.99625
30.12.2019,Mon,1.53438,1.6035,1.78088,1.83888,1.90938,1.90875,2.001
27.12.2019,Fri,1.53625,1.624,1.79938,1.84913,1.94463,1.92075,2.00425
24.12.2019,Tue,1.53313,1.60863,1.80475,1.853,1.9605,1.92125,2.012
23.12.2019,Mon,1.5345,1.6025,1.792,1.84388,1.94663,1.92438,2.0015
20.12.2019,Fri,1.53663,1.57613,1.77988,1.85025,1.93475,1.9205,1.99963
19.12.2019,Thu,1.534,1.57525,1.78513,1.84475,1.92775,1.91625,1.998
18.12.2019,Wed,1.5335,1.58213,1.76463,1.84188,1.908,1.90488,1.96963
17.12.2019,Tue,1.53563,1.57613,1.76388,1.8405,1.9025,1.90463,1.96838
16.12.2019,Mon,1.53063,1.56525,1.74488,1.83613,1.8985,1.89338,1.95963
13.12.2019,Fri,1.52988,1.563,1.73738,1.83688,1.89963,1.90288,1.96388
12.12.2019,Thu,1.53375,1.57038,1.73975,1.83188,1.89363,1.88638,1.93288
11.12.2019,Wed,1.52538,1.57638,1.7405,1.824,1.88738,1.88825,1.94325
10.12.2019,Tue,1.529,1.58013,1.73563,1.82613,1.88725,1.87863,1.93288
09.12.2019,Mon,1.53663,1.58288,1.71763,1.8205,1.88838,1.88013,1.93525
06.12.2019,Fri,1.52913,1.58288,1.71513,1.82175,1.8905,1.88675,1.92313
05.12.2019,Thu,1.52938,1.57475,1.71013,1.82238,1.885,1.88813,1.92263
04.12.2019,Wed,1.5295,1.58838,1.71313,1.825,1.88713,1.8875,1.917
03.12.2019,Tue,1.5385,1.57725,1.70363,1.83563,1.8915,1.89538,1.93663
02.12.2019,Mon,1.54063,1.57238,1.69375,1.83388,1.90013,1.90613,1.9625
29.11.2019,Fri,1.5425,1.5865,1.69713,1.83988,1.9055,1.89688,1.95213
28.11.2019,Thu,,1.58625,1.7085,1.83575,1.90688,1.89513,1.95025
27.11.2019,Wed,1.53963,1.58888,1.69113,1.83463,1.91375,1.90688,1.93975
26.11.2019,Tue,1.538,1.59813,1.70163,1.84363,1.90863,1.91425,1.94163
25.11.2019,Mon,1.53613,1.597,1.6995,1.842,1.91863,1.91913,1.94175
22.11.2019,Fri,1.53388,1.58975,1.70275,1.83675,1.91725,1.90725,1.91488
21.11.2019,Thu,1.54138,1.584,1.708,1.841,1.9095,1.8935,1.90863
20.11.2019,Wed,1.529,1.58475,1.71563,1.8335,1.89875,1.89113,1.90925
19.11.2019,Tue,1.53688,1.58775,1.72163,1.83675,1.89463,1.907,1.94163
18.11.2019,Mon,1.53538,1.591,1.72363,1.836,1.8985,1.91888,1.95338
