,date,R_F_TWE.
326,08-08-15,-0.000958511
327,09-08-15,-0.000959431
328,10-08-15,-0.000960352
329,11-08-15,0.000997895
330,12-08-15,-0.012294199
331,13-08-15,0.005186501
332,14-08-15,0.001029068
333,15-08-15,0.000537006
334,16-08-15,0.000536718
335,17-08-15,0.00053643
336,18-08-15,0.001429436
337,19-08-15,0.00029433
338,20-08-15,-0.008464692
339,21-08-15,-0.006598146
340,22-08-15,-0.003737894
341,23-08-15,-0.003751918
342,24-08-15,-0.003766048
343,25-08-15,0.0105953
344,26-08-15,0.001249073
345,27-08-15,0.006151993
346,28-08-15,0.004892528
347,29-08-15,-0.000467573
348,30-08-15,-0.000467791
349,31-08-15,-0.00046801
350,01-09-15,-0.004904898
351,02-09-15,0.004046856
352,03-09-15,0.003501768
353,04-09-15,0.000433053
354,05-09-15,-0.001151321
355,06-09-15,-0.001152648
356,07-09-15,-0.001153979
357,08-09-15,-0.001155312
358,09-09-15,0.002721901
359,10-09-15,-0.004781888
360,11-09-15,-0.001574927
361,12-09-15,-0.000138578
362,13-09-15,-0.000138597
363,14-09-15,-0.000138616
364,15-09-15,0.003014131
365,16-09-15,-0.004487796
366,17-09-15,0.00041201
367,18-09-15,-0.004935492
368,19-09-15,0.003264792
369,20-09-15,0.003254168
370,21-09-15,0.003243613
371,22-09-15,0.003861293
372,23-09-15,0.001130795
373,24-09-15,-0.003603623
374,25-09-15,0.003625378
375,26-09-15,-0.000686218
376,27-09-15,-0.00068669
377,28-09-15,-0.000687161
378,29-09-15,0.000648312
379,30-09-15,0.003225501
380,01-10-15,-0.005463138
381,02-10-15,-0.004061673
382,03-10-15,0.000490216
383,04-10-15,0.000489975
384,05-10-15,0.000489735
385,06-10-15,-0.004235998
386,07-10-15,-0.000693815
387,08-10-15,-0.001836368
388,09-10-15,-0.004720866
389,10-10-15,-1.25E-05
390,11-10-15,-1.25E-05
391,12-10-15,-1.25E-05
392,13-10-15,-1.25E-05
393,14-10-15,-0.004072892
394,15-10-15,-0.002636071
395,16-10-15,0.004962458
396,17-10-15,0.000963393
397,18-10-15,0.000962466
398,19-10-15,0.00096154
399,20-10-15,-0.001720138
400,21-10-15,0.004078576
401,22-10-15,0.008608715
402,23-10-15,0.007857133
403,24-10-15,-0.000847644
404,25-10-15,-0.000848363
405,26-10-15,-0.000849083
406,27-10-15,0.00208263
407,28-10-15,-0.001992322
408,29-10-15,0.005780137
409,30-10-15,-0.006660718
410,31-10-15,0.000294339
411,01-11-15,0.000294252
412,02-11-15,0.000294166
413,03-11-15,0.00422122
414,04-11-15,0.005142733
415,05-11-15,0.000861916
416,06-11-15,0.011277327
417,07-11-15,-0.000745676
418,08-11-15,-0.000746232
419,09-11-15,-0.000746789
420,10-11-15,0.003366806
421,11-11-15,-0.001847676
422,12-11-15,-0.001851096
423,13-11-15,0.002741026
424,14-11-15,0.00040946
425,15-11-15,0.000409293
426,16-11-15,0.000409125
427,17-11-15,0.002971941
428,18-11-15,0.000712208
429,19-11-15,-0.008338683
430,20-11-15,0.005696091
431,21-11-15,0.001215901
432,22-11-15,0.001214425
433,23-11-15,0.001212951
434,24-11-15,-0.003658149
435,25-11-15,0.001425618
436,26-11-15,0.001597291
437,27-11-15,0.001594744
438,28-11-15,0.000280167
439,29-11-15,0.000280088
440,30-11-15,0.00028001
441,01-12-15,-0.002210511
442,02-12-15,0.003014179
443,03-12-15,-0.014566851
444,04-12-15,-0.000172467
445,05-12-15,0.001863072
446,06-12-15,0.001859608
447,07-12-15,0.001856156
448,08-12-15,0.000301451
449,09-12-15,-0.006720554
450,10-12-15,0.000687057
451,11-12-15,-0.000764259
452,12-12-15,-8.47E-05
453,13-12-15,-8.47E-05
454,14-12-15,-8.47E-05
455,15-12-15,0.006702531
456,16-12-15,0.000640106
457,17-12-15,0.011143937
458,18-12-15,-0.006149017
459,19-12-15,-0.000244403
460,20-12-15,-0.000244463
461,21-12-15,-0.000244523
462,22-12-15,-0.003440962
463,23-12-15,0.002526652
464,24-12-15,-0.004997846
465,25-12-15,5.47E-05
466,26-12-15,5.47E-05
467,27-12-15,5.46E-05
468,28-12-15,5.46E-05
469,29-12-15,0.00233982
470,30-12-15,0.000795377
471,31-12-15,0.00176713
472,01-01-16,0.001111087
473,02-01-16,0.001109853
474,03-01-16,0.001108623
475,04-01-16,0.001107395
476,05-01-16,0.00280909
477,06-01-16,0.00106019
478,07-01-16,-0.004813039
479,08-01-16,0.000793747
480,09-01-16,0.000263738
481,10-01-16,0.000263669
482,11-01-16,0.000263599
483,12-01-16,0.004819094
484,13-01-16,-0.000902864
485,14-01-16,0.001983338
486,15-01-16,-0.001614316
487,16-01-16,0.000896493
488,17-01-16,0.00089569
489,18-01-16,0.000894888
490,19-01-16,0.000894088
491,20-01-16,0.000139294
492,21-01-16,-0.002682454
493,22-01-16,-0.000662633
494,23-01-16,-0.000663072
495,24-01-16,-0.000663512
496,25-01-16,-0.000663953
497,26-01-16,-0.000664394
498,27-01-16,-0.000664835
499,28-01-16,-0.003533759
500,29-01-16,0.009006133
501,30-01-16,-0.001559632
502,31-01-16,-0.001562068
503,01-02-16,-0.001564512
504,02-02-16,-0.001176311
505,03-02-16,-0.014069623
506,04-02-16,-0.010369929
507,05-02-16,0.007086202
508,06-02-16,-0.00074252
509,07-02-16,-0.000743071
510,08-02-16,-0.000743624
511,09-02-16,-0.008135965
512,10-02-16,0.004216633
513,11-02-16,-0.009216915
514,12-02-16,0.004593585
515,13-02-16,0.001695646
516,14-02-16,0.001692776
517,15-02-16,0.001689915
518,16-02-16,0.001687064
519,17-02-16,-0.003333738
520,18-02-16,0.001731391
521,19-02-16,-0.001523855
522,20-02-16,0.001277776
523,21-02-16,0.001276145
524,22-02-16,0.001274519
525,23-02-16,0.001367519
526,24-02-16,-0.001335219
527,25-02-16,-0.002173946
528,26-02-16,0.005470563
529,27-02-16,7.83E-05
530,28-02-16,7.83E-05
531,29-02-16,7.83E-05
532,01-03-16,-0.000178108
533,02-03-16,9.76E-05
534,03-03-16,-0.006739208
535,04-03-16,-0.003896252
536,05-03-16,-0.000356471
537,06-03-16,-0.000356598
538,07-03-16,-0.000356725
539,08-03-16,-0.00032355
540,09-03-16,-0.00269017
541,10-03-16,-0.00281753
542,11-03-16,-0.004667886
543,12-03-16,0.001737269
544,13-03-16,0.001734257
545,14-03-16,0.001731254
546,15-03-16,0.001197562
547,16-03-16,0.003250609
548,17-03-16,-0.024008225
549,18-03-16,0.000893248
550,19-03-16,0.001339673
551,20-03-16,0.001337881
552,21-03-16,0.001336093
553,22-03-16,0.002179277
554,23-03-16,0.007280975
555,24-03-16,0.002001138
556,25-03-16,0.000533034
557,26-03-16,-0.001359598
558,27-03-16,-0.001361449
559,28-03-16,-0.001363305
560,29-03-16,-0.00061327
561,30-03-16,-0.011194819
562,31-03-16,-0.002560331
563,01-04-16,0.002453596
564,02-04-16,-0.000537183
565,03-04-16,-0.000537472
566,04-04-16,-0.000537761
567,05-04-16,0.003054599
568,06-04-16,-0.00555235
569,07-04-16,0.002091177
570,08-04-16,-0.004131917
571,09-04-16,-0.001170143
572,10-04-16,-0.001171514
573,11-04-16,-0.001172888
574,12-04-16,-0.001263814
575,13-04-16,0.005544404
576,14-04-16,0.001947694
577,15-04-16,-0.001738672
578,16-04-16,-0.000783035
579,17-04-16,-0.000783649
580,18-04-16,-0.000784264
581,19-04-16,-0.006094949
582,20-04-16,0.001877165
583,21-04-16,0.003576777
584,22-04-16,0.004287591
585,23-04-16,-0.000812555
586,24-04-16,-0.000813216
587,25-04-16,-0.000813878
588,26-04-16,-0.003716153
589,27-04-16,0.001190897
590,28-04-16,-0.006268936
591,29-04-16,-0.007011889
592,30-04-16,-0.001317991
593,01-05-16,-0.001319731
594,02-05-16,-0.001321475
595,03-05-16,0.004416069
596,04-05-16,0.006860879
597,05-05-16,0.003118735
598,06-05-16,0.000606167
599,07-05-16,0.001677508
600,08-05-16,0.001674699
601,09-05-16,0.001671899
602,10-05-16,0.000799508
603,11-05-16,-0.006284671
604,12-05-16,0.00363322
605,13-05-16,0.006422313
606,14-05-16,-0.000984853
607,15-05-16,-0.000985824
608,16-05-16,-0.000986797
609,17-05-16,-0.000873748
610,18-05-16,0.003794474
611,19-05-16,0.007197824
612,20-05-16,0.002337806
613,21-05-16,-6.62E-06
614,22-05-16,-6.62E-06
615,23-05-16,-6.62E-06
616,24-05-16,0.000636248
617,25-05-16,-0.001166948
618,26-05-16,-0.004144942
619,27-05-16,0.002587627
620,28-05-16,0.001015015
621,29-05-16,0.001013985
622,30-05-16,0.001012958
623,31-05-16,0.001011933
624,01-06-16,-0.002384015
625,02-06-16,-0.00098922
626,03-06-16,-0.013469056
627,04-06-16,-0.000743668
628,05-06-16,-0.000744221
629,06-06-16,-0.000744775
630,07-06-16,-0.002603216
631,08-06-16,-0.005067408
632,09-06-16,0.003995841
633,10-06-16,0.003572669
634,11-06-16,0.000202346
635,12-06-16,0.000202305
636,13-06-16,0.000202265
637,14-06-16,0.00416554
638,15-06-16,-0.000100521
639,16-06-16,0.004195393
640,17-06-16,-0.008664233
641,18-06-16,-0.002065405
642,19-06-16,-0.00206968
643,20-06-16,-0.002073972
644,21-06-16,0.002571807
645,22-06-16,-0.001001553
646,23-06-16,-0.004002693
647,24-06-16,0.016258531
648,25-06-16,0.003045073
649,26-06-16,0.003035829
650,27-06-16,0.00302664
651,28-06-16,0.000297859
652,29-06-16,-0.00623268
653,30-06-16,0.005389619
654,01-07-16,-0.007668647
655,02-07-16,0.001038763
656,03-07-16,0.001037685
657,04-07-16,0.001036609
658,05-07-16,0.001035536
659,06-07-16,0.001046362
660,07-07-16,-0.000392949
661,08-07-16,0.002738575
662,09-07-16,0.001178472
663,10-07-16,0.001177085
664,11-07-16,0.001175701
665,12-07-16,-0.00218628
666,13-07-16,-0.003284536
667,14-07-16,-0.000109523
668,15-07-16,0.004739434
669,16-07-16,-0.00019712
