"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"BTC",1,1897,0.147678292694464,3.88007960686244,0.19910549606017,0.221474820441566,2.17582750060247,-23.7557712608218,22.5118954355295,46.2676666963514,-0.287507970179055,5.19633353361149,0.0890854894820834
"XRP",2,1897,0.19663925072134,6.67006361915991,-0.295041398438478,-0.163693744221216,2.86493332287774,-61.6272741978404,102.73557570896,164.3628499068,2.94400653949863,42.9698127698817,0.1531427039122
"LTC",3,1897,0.1186243865633,5.71943046020557,-0.072486944864586,-0.0480398648687621,2.74422466961903,-51.4579539606446,51.1417435996806,102.599697560325,0.706844916632299,13.7675489291022,0.131316445468026
"ETH",4,1573,0.254983761071143,7.20331192316094,-0.0773315591795942,0.143881947972823,3.84742239067606,-130.287090782596,41.0335262843464,171.320617066943,-3.41883080512954,70.6944529321163,0.181621751693132
"GOLD",5,1897,0.0036934238463817,0.979169268238433,-0.0071723148676206,-0.0135587828285259,0.425322058642706,-7.74251425864438,8.20927583370015,15.9517900923445,0.763740050574452,14.4686951901262,0.0224814391417529
"SILVER",6,1897,-0.0047403085031141,1.37448833384362,0.0151366079150783,-0.0135576326878551,0.855239303387961,-7.5984372709657,12.0504780455159,19.6489153164816,0.191692283413883,6.77799510119667,0.0315578489140554
"LIBOR",7,1897,0.149100574606409,2.89700337982872,0,0.0173165900223054,0.110676957945683,-29.6446370445369,86.7421513196599,116.386788364197,15.9788046889696,467.579387645565,0.0665143477125677
"SnP500",8,1897,0.0239653307685235,0.649374603683464,0.0236339767161198,0.0354745221465304,0.318954630103472,-3.82590522050155,3.82912997435536,7.65503519485691,-0.503979311599695,5.78380059655903,0.0149094503947961
"DAX",9,1897,0.0167971792072058,0.863319684239219,0.0347232559754218,0.0290808030802981,0.489828750597389,-7.06727223541534,4.85205500437065,11.919327239786,-0.36040514507681,5.35448186674875,0.0198215666797001
"EURUSD",10,1897,-0.00853203052734424,0.410118511513202,-0.0120654298987471,-0.0129434339206658,0.268908247792502,-2.38167428648859,2.81453314735742,5.19620743384601,0.25850278283834,5.465198901806,0.0094162007086656
"GBPUSD",11,1897,-0.0123818308817293,0.443483709273702,-0.011266250679598,-0.0166508214276516,0.302540756802568,-2.80468334405644,2.84796094479345,5.6526442888499,-0.0940450276166741,6.10801914435284,0.0101822558609629
"USDCHF",12,1897,0.0035455331852941,0.562829164698541,0.0182036994465196,0.0178356050984774,0.24503656270618,-17.6108867858376,2.47096645847447,20.0818532443121,-16.2056552048351,504.629861823972,0.0129223925053709
